year,month,day,tank,size,trt,Leftover (g)
2017,1,8,14,small,2.0%,0.452
2017,1,8,15,small,0.0%,0.000
2017,1,8,16,small,0.5%,0.000
2017,1,8,17,small,2.0%,0.395
2017,1,8,18,large,0.0%,0.000
2017,1,8,19,small,1.0%,0.161
2017,1,8,20,large,0.5%,0.000
2017,1,8,21,small,0.0%,0.000
2017,1,8,22,small,2.0%,0.435
2017,1,8,23,large,0.5%,0.000
2017,1,8,24,small,1.0%,0.137
2017,1,8,25,large,0.0%,0.000
2017,1,8,26,small,1.0%,0.200
2017,1,8,27,small,2.0%,0.555
2017,1,8,28,small,0.5%,0.000
2017,1,8,29,small,0.5%,0.000
2017,1,8,30,small,2.0%,0.625
2017,1,8,31,small,0.0%,0.000
2017,1,8,32,large,1.0%,0.161
2017,1,8,33,small,0.5%,0.000
2017,1,8,34,large,1.0%,0.084
2017,1,8,35,small,0.0%,0.000
2017,1,8,36,large,2.0%,1.092
2017,1,9,1,large,0.5%,0.000
2017,1,9,2,large,2.0%,0.940
2017,1,9,3,small,0.0%,0.000
2017,1,9,4,small,1.0%,0.140
2017,1,9,5,large,1.0%,0.380
2017,1,9,6,large,0.0%,0.000
2017,1,9,7,small,2.0%,0.352
2017,1,9,8,small,0.5%,0.000
2017,1,9,9,small,0.0%,0.000
2017,1,9,10,large,2.0%,0.788
2017,1,9,11,small,1.0%,0.163
2017,1,9,12,small,0.5%,0.000
2017,1,9,13,small,1.0%,0.169
2017,1,9,14,small,2.0%,0.524
2017,1,9,15,small,0.0%,0.000
2017,1,9,16,small,0.5%,0.000
2017,1,9,17,small,2.0%,0.420
2017,1,9,18,large,0.0%,0.000
2017,1,9,19,small,1.0%,0.088
2017,1,9,20,large,0.5%,0.000
2017,1,9,21,small,0.0%,0.000
2017,1,9,22,small,2.0%,0.500
2017,1,9,23,large,0.5%,0.000
2017,1,9,24,small,1.0%,0.137
2017,1,9,25,large,0.0%,0.000
2017,1,9,26,small,1.0%,0.260
2017,1,9,27,small,2.0%,0.591
2017,1,9,28,small,0.5%,0.000
2017,1,9,29,small,0.5%,0.000
2017,1,9,30,small,2.0%,0.577
2017,1,9,31,small,0.0%,0.000
2017,1,9,32,large,1.0%,0.307
2017,1,9,33,small,0.5%,0.000
2017,1,9,34,large,1.0%,0.355
2017,1,9,35,small,0.0%,0.000
2017,1,9,36,large,2.0%,1.180
2017,1,10,1,large,0.5%,0.000
2017,1,10,2,large,2.0%,1.069
2017,1,10,3,small,0.0%,0.000
2017,1,10,4,small,1.0%,0.095
2017,1,10,5,large,1.0%,0.317
2017,1,10,6,large,0.0%,0.000
2017,1,10,7,small,2.0%,0.555
2017,1,10,8,small,0.5%,0.000
2017,1,10,9,small,0.0%,0.000
2017,1,10,10,large,2.0%,0.795
2017,1,10,11,small,1.0%,0.161
2017,1,10,12,small,0.5%,0.000
2017,1,10,13,small,1.0%,0.040
2017,1,10,14,small,2.0%,0.570
2017,1,10,15,small,0.0%,0.000
2017,1,10,16,small,0.5%,0.000
2017,1,10,17,small,2.0%,0.359
2017,1,10,18,large,0.0%,0.000
2017,1,10,19,small,1.0%,0.181
2017,1,10,20,large,0.5%,0.000
2017,1,10,21,small,0.0%,0.000
2017,1,10,22,small,2.0%,0.572
2017,1,10,23,large,0.5%,0.000
2017,1,10,24,small,1.0%,0.109
2017,1,10,25,large,0.0%,0.000
2017,1,10,26,small,1.0%,0.140
2017,1,10,27,small,2.0%,0.533
2017,1,10,28,small,0.5%,0.000
2017,1,10,29,small,0.5%,0.000
2017,1,10,30,small,2.0%,0.668
2017,1,10,31,small,0.0%,0.000
2017,1,10,32,large,1.0%,0.322
2017,1,10,33,small,0.5%,0.000
2017,1,10,34,large,1.0%,0.283
2017,1,10,35,small,0.0%,0.000
2017,1,10,36,large,2.0%,1.024
2017,1,11,1,large,0.5%,0.000
2017,1,11,2,large,2.0%,0.888
2017,1,11,3,small,0.0%,0.000
2017,1,11,4,small,1.0%,0.000
2017,1,11,5,large,1.0%,0.344
2017,1,11,6,large,0.0%,0.000
2017,1,11,7,small,2.0%,0.326
2017,1,11,8,small,0.5%,0.000
2017,1,11,9,small,0.0%,0.000
2017,1,11,10,large,2.0%,0.744
2017,1,11,11,small,1.0%,0.155
2017,1,11,12,small,0.5%,0.000
2017,1,11,13,small,1.0%,0.207
2017,1,11,14,small,2.0%,0.485
2017,1,11,15,small,0.0%,0.000
2017,1,11,16,small,0.5%,0.000
2017,1,11,17,small,2.0%,0.500
2017,1,11,18,large,0.0%,0.000
2017,1,11,19,small,1.0%,0.141
2017,1,11,20,large,0.5%,0.000
2017,1,11,21,small,0.0%,0.000
2017,1,11,22,small,2.0%,0.545
2017,1,11,23,large,0.5%,0.000
2017,1,11,24,small,1.0%,0.136
2017,1,11,25,large,0.0%,0.000
2017,1,11,26,small,1.0%,0.000
2017,1,11,27,small,2.0%,0.578
2017,1,11,28,small,0.5%,0.000
2017,1,11,29,small,0.5%,0.000
2017,1,11,30,small,2.0%,0.570
2017,1,11,31,small,0.0%,0.000
2017,1,11,32,large,1.0%,0.290
2017,1,11,33,small,0.5%,0.000
2017,1,11,34,large,1.0%,0.323
2017,1,11,35,small,0.0%,0.000
2017,1,11,36,large,2.0%,1.385
2017,1,12,1,large,0.5%,0.000
2017,1,12,2,large,2.0%,1.027
2017,1,12,3,small,0.0%,0.000
2017,1,12,4,small,1.0%,0.179
2017,1,12,5,large,1.0%,0.551
2017,1,12,6,large,0.0%,0.000
2017,1,12,7,small,2.0%,0.383
2017,1,12,8,small,0.5%,0.000
2017,1,12,9,small,0.0%,0.000
